#{"t_start": 1677675851.8243756, "env_id": null}
r,l,t
-914.2,358,22.403249
-642.3,342,50.349795
-421.9,330,81.772939
-859.1,348,112.743511
-157.0,302,144.863186
96.5,305,172.699131
-143.4,344,211.77339
166.4,305,246.813501
113.5,305,282.621796
-138.0,302,311.973917
246.0,304,339.677933
256.0,302,375.43471
-295.7,317,410.421738
210.5,302,445.606411
35.0,302,473.191761
194.1,307,506.00604
164.3,303,543.152088
193.2,307,579.8107
176.0,304,616.160451
25.1,302,638.979177
112.0,303,674.789179
109.0,303,712.689402
106.0,303,752.158544
43.0,302,813.26348
86.0,302,857.073019
99.0,304,898.279055
106.0,302,938.998989
-55.0,302,998.897529
80.0,303,1046.736093
100.0,302,1088.069688
84.0,302,1128.901406
-94.0,302,1184.534176
58.0,302,1209.120159
51.0,302,1236.607477
44.0,302,1278.409573
51.0,302,1320.959011
-85.0,302,1370.599189
65.0,303,1394.397191
60.0,302,1424.74768
88.0,302,1463.792487
59.0,302,1505.093708
-81.0,302,1551.671615
74.0,302,1576.333582
86.0,303,1610.454757
103.0,302,1653.029929
124.0,305,1694.282056
-41.0,302,1738.37183
164.6,303,1763.089828
128.0,302,1803.061514
206.7,305,1843.23274
224.4,305,1882.334223
-27.0,302,1921.131962
138.0,302,1946.306199
86.0,302,1986.720415
175.0,302,2027.075796
88.0,302,2066.872194
-51.0,302,2103.007437
107.0,303,2132.394737
58.0,302,2173.626903
84.0,303,2216.249179
87.0,302,2256.986582
-7.0,302,2289.668823
77.0,303,2323.515105
112.0,303,2365.705181
38.0,305,2406.916375
66.8,305,2448.42252
-59.0,302,2477.37396
67.0,302,2514.754316
76.4,303,2556.533474
-228.2,314,2597.826265
-157.0,302,2663.466992
-187.1,317,2705.87408
18.9,304,2745.518194
-84.9,306,2786.306172
-123.0,302,2849.559332
112.8,303,2894.822793
87.8,304,2935.764305
99.6,303,2977.772571
-10.0,302,3036.244827
105.0,302,3061.112462
194.5,309,3085.714719
119.9,302,3126.043346
97.1,306,3168.959341
20.9,302,3224.278337
63.6,309,3250.24475
2.7,310,3279.002924
120.0,305,3320.295987
128.0,303,3361.565518
40.6,302,3413.043966
122.0,302,3437.913848
123.0,302,3470.705108
97.0,302,3514.017596
105.0,305,3556.169653
19.9,302,3603.695222
35.3,309,3628.689925
