#{"t_start": 1677771913.5737624, "env_id": null}
r,l,t
-1105.9,344,16.914846
-1056.3,346,34.670599
-973.5,346,51.787636
-892.0,337,70.055129
-1115.0,360,88.035517
-1400.0,341,124.008769
-1400.0,341,145.959078
-963.9,336,163.004111
-1331.0,331,178.840271
-1464.5,359,197.843284
-547.9,326,220.178608
-409.4,304,240.461339
-302.7,308,262.659313
-227.1,303,287.744488
-231.1,303,310.553501
-816.3,331,329.871747
-67.3,304,350.472863
-132.0,306,368.758788
-115.5,306,389.257341
-72.5,304,409.519244
-344.0,333,430.610668
-210.1,304,457.55296
-210.1,304,477.086262
-134.5,313,498.040421
-57.0,306,518.633404
-52.4,305,539.513069
-31.4,304,558.392868
-92.7,308,579.282454
-166.0,330,600.796934
-113.0,302,629.082091
-145.0,304,648.770462
-91.8,310,669.823813
-149.0,315,690.872976
-117.5,304,711.237102
-175.4,303,731.69794
-48.0,303,750.75023
-37.0,303,771.100365
-121.0,303,802.464353
-118.0,304,824.377743
-36.0,302,844.161047
-62.8,304,864.175282
-44.0,304,884.655484
-45.8,302,904.997011
-97.6,306,924.354424
-42.6,302,945.710649
-211.6,324,979.663943
-175.4,317,999.953336
-201.8,306,1019.656288
-181.2,309,1038.505922
-28.0,303,1060.413021
-37.2,304,1081.413201
-52.0,302,1102.468366
-155.3,302,1124.154123
-256.7,313,1156.356502
-270.6,316,1177.561125
-50.0,303,1198.87944
-46.0,304,1222.166667
-85.3,310,1243.266682
-75.9,306,1264.76338
-48.0,302,1286.3276
-68.8,304,1308.02424
-85.8,311,1340.753732
-343.4,304,1360.28735
-63.9,304,1383.346864
-56.1,306,1405.506373
-27.0,303,1429.121969
-27.6,303,1450.000613
-48.0,305,1474.57905
-24.2,304,1498.047043
-234.8,323,1532.142871
-193.6,319,1554.04554
-60.1,302,1577.433143
-268.5,308,1600.48484
-49.5,303,1622.144818
-50.1,305,1644.268302
-426.9,319,1664.934391
-178.4,313,1689.125191
-133.0,303,1723.174617
-149.2,304,1745.479676
-39.7,305,1767.538361
-44.8,307,1790.365811
-21.0,303,1813.539776
-91.3,308,1836.526991
-35.4,305,1859.925952
-50.0,304,1881.55439
-115.0,303,1917.107269
-128.0,303,1938.547508
-35.8,302,1958.494213
-57.3,303,1977.672294
-41.0,304,2000.694367
-40.0,302,2022.041399
-30.4,304,2044.192976
-77.3,307,2065.605547
-207.0,302,2096.895226
-216.6,302,2117.160132
-19.0,304,2140.365447
-33.8,302,2162.521407
-31.0,304,2184.769808
-34.0,302,2208.348687
-52.8,304,2229.574286
-25.0,302,2250.784219
-164.3,302,2282.723954
-423.4,330,2304.12492
-57.9,304,2326.260818
-48.5,305,2349.052186
-159.4,307,2371.508626
-113.5,308,2392.972641
-40.0,304,2414.677129
-44.0,303,2433.116179
-707.6,349,2469.192048
-530.1,343,2492.463612
-89.3,309,2515.612508
-21.0,305,2537.636007
-56.0,310,2560.366727
-115.3,304,2581.834892
-108.9,314,2602.551137
-49.9,305,2624.60009
-332.6,332,2660.035334
-222.6,321,2682.194375
-22.4,306,2702.620267
-140.8,315,2724.252865
-44.1,307,2747.140028
-29.0,305,2769.063164
-66.0,306,2792.064669
-339.1,303,2812.563182
-206.9,309,2846.760505
-170.0,305,2868.102817
-54.3,303,2890.047434
-80.5,303,2910.970842
-156.2,304,2933.115816
-81.1,307,2955.027761
-55.5,309,2977.323987
-103.0,317,3000.302809
-501.6,341,3033.201738
-566.3,340,3056.239785
-46.6,306,3078.129981
-43.0,306,3100.885291
-63.4,306,3121.40485
-53.4,306,3143.431635
-33.0,302,3165.68681
-56.0,304,3188.181878
-336.2,329,3222.284935
-123.2,313,3244.012959
-35.4,306,3267.610003
-43.8,307,3291.630108
-50.1,303,3314.37584
-67.8,304,3335.550299
-89.0,303,3359.393636
-55.8,304,3382.007498
-118.4,307,3416.715128
-135.4,310,3440.395104
-31.0,303,3465.759064
-44.6,303,3487.945663
-47.0,302,3511.058802
-70.2,303,3533.369085
-82.2,304,3555.695264
-68.8,304,3579.370462
-148.5,307,3615.812213
-103.4,309,3636.837961
-31.0,303,3658.098294
-53.0,304,3681.01489
-54.0,305,3703.72039
-41.0,306,3726.35403
-42.4,306,3748.929701
-21.2,304,3769.945431
-195.1,318,3805.19248
-239.0,323,3827.192958
-95.8,312,3849.073439
-122.5,314,3872.567115
-95.1,313,3893.573928
-32.2,302,3915.499707
-26.0,302,3938.060491
-37.0,302,3960.406504
-367.8,322,3992.741994
-402.1,321,4014.663552
-34.2,303,4036.96269
-59.0,305,4060.131759
-36.0,304,4081.385957
-59.9,306,4104.239814
-34.0,305,4126.910814
-63.0,303,4149.117653
-168.0,316,4182.336356
-184.0,318,4204.599322
-81.8,307,4226.722131
-36.3,307,4249.543697
-35.8,304,4272.233859
-19.0,303,4294.334789
-43.2,303,4318.149777
-33.4,304,4340.208228
-76.8,309,4373.333713
-185.7,311,4394.96121
-33.4,306,4417.367487
-21.0,304,4439.877118
-13.0,304,4462.085722
-89.9,310,4484.648796
-17.2,304,4506.044027
-49.9,307,4529.221448
